date,ticker,horizon,predicted_return,actual_return,technical_score,uncertainty,pred_direction,actual_direction,direction_correct
2024-01-31,RELIANCE.NS,20,0.08284822039600327,3.112244686859325,50.31063973713159,0.6103665232658386,1.0,1.0,True
2024-02-28,RELIANCE.NS,20,-0.572517371785086,-2.0867340775052865,47.328263690235204,0.49278104305267334,-1.0,-1.0,True
2024-05-02,RELIANCE.NS,20,-0.39148928940946864,-0.4023072502763148,48.05437431183481,0.9704344272613525,-1.0,-1.0,True
2024-05-31,RELIANCE.NS,20,-0.6341302262321117,3.0271296353212693,47.099794468080106,1.1143680810928345,-1.0,1.0,False
2024-07-30,RELIANCE.NS,20,-1.5904928662776698,-1.301808454233407,43.331460257460904,0.5796267986297607,-1.0,-1.0,True
2024-08-28,RELIANCE.NS,20,-1.4986533568412572,-1.7353022204539326,41.46194067913603,0.4667642414569855,-1.0,-1.0,True
2024-09-25,RELIANCE.NS,20,-1.0564148388850176,-10.035469955789916,43.880411952686416,0.6164664626121521,-1.0,-1.0,True
2024-10-24,RELIANCE.NS,20,-0.4814198765857697,-6.549489978074423,47.92531971892872,0.860093355178833,-1.0,-1.0,True
2025-01-21,RELIANCE.NS,20,1.7849703429060984,-1.5741520227337744,57.170462502242046,0.6857380867004395,1.0,-1.0,False
2025-03-19,RELIANCE.NS,20,3.2514720010362823,-5.207875659725604,64.48281970633913,0.8439368605613708,1.0,-1.0,False
2025-04-22,RELIANCE.NS,20,1.1525829091704456,11.25309230289823,54.23546938299148,0.6841327548027039,1.0,1.0,True
2025-05-21,RELIANCE.NS,20,-0.5398917189337565,0.65071773781451,47.7849671560273,0.7307026386260986,-1.0,1.0,False
2025-06-18,RELIANCE.NS,20,-0.6800027208455448,7.516958721031128,46.5529315880089,0.6974263787269592,-1.0,1.0,False
2025-07-16,RELIANCE.NS,20,0.5327517312325802,-6.320680516188346,52.72858782506682,0.8925419449806213,1.0,-1.0,False
2025-08-13,RELIANCE.NS,20,0.9006913392779149,-0.7697317387161635,54.06481074472656,1.1243630647659302,1.0,-1.0,False
2024-01-31,TCS.NS,20,0.8127564182453961,5.626372024177844,53.803161675039455,0.30877527594566345,1.0,1.0,True
2024-02-28,TCS.NS,20,0.5640172431958504,-3.4389912075610396,52.318636234520575,0.6449291110038757,1.0,-1.0,False
2024-05-02,TCS.NS,20,2.345195245640746,-0.08925355083332545,59.60073293315291,0.7134736180305481,1.0,-1.0,False
2024-05-31,TCS.NS,20,3.035572004527898,3.168115482047032,62.639698747492524,1.106405258178711,1.0,1.0,True
2024-07-30,TCS.NS,20,-0.6160077013559715,2.8554243316032935,47.219532182103414,0.528727114200592,-1.0,1.0,False
2024-08-28,TCS.NS,20,-1.321165925740014,-0.008868683128696058,43.62993704500446,0.24663300812244415,-1.0,-1.0,True
2024-09-25,TCS.NS,20,-0.9478590240056356,-3.694953724065761,45.875840803602166,0.675268292427063,-1.0,-1.0,True
2024-10-24,TCS.NS,20,-1.2612430196352995,2.530941274940237,44.6705928515806,1.1093988418579102,-1.0,1.0,False
2025-01-21,TCS.NS,20,-2.4510866979118298,0.027254106371412616,41.43228309347099,1.058007836341858,-1.0,1.0,False
2025-03-19,TCS.NS,20,-0.762928530113295,-5.837702424012722,46.83301550934439,1.284260869026184,-1.0,-1.0,True
2025-04-22,TCS.NS,20,1.1441257778682683,9.232438748593276,53.813450914647454,0.9932621121406555,1.0,1.0,True
2025-05-21,TCS.NS,20,0.3829984388918184,-0.9110097642865486,51.46514622549093,1.207946538925171,1.0,-1.0,False
2025-06-18,TCS.NS,20,-0.5038384551483353,-1.3096177125674515,47.62428500704155,0.8492124080657959,-1.0,-1.0,True
2025-07-16,TCS.NS,20,1.6767829649561243,-5.233367466121755,57.997676222026705,1.0662370920181274,1.0,-1.0,False
2025-08-13,TCS.NS,20,-0.14732785224945383,2.4800759705518876,49.214081040086796,1.1097934246063232,-1.0,1.0,False
2024-01-31,HDFCBANK.NS,20,2.2120041295192143,-0.5640889412671812,57.1354955801193,0.8197942972183228,1.0,-1.0,False
2024-02-28,HDFCBANK.NS,20,3.3143530015561815,2.8345424513565463,63.30804432835029,1.104600191116333,1.0,1.0,True
